CropId,PestDiseases,MinTemp,MaxTemp,MinHum,MaxHum,Treatment
Wheat,Brown rust,20,25,NA,,Cultural control:Follow mixed cropping and crop rotation.Avoid excess application of “N”.Chemical control:Propiconazole 25% EC @ 200 ml in 200 l of water/acre or tebuconazole 25% EC @200 ml in 200 l of water/acre or zineb 75% WP @ 6-8 Kg in 300-400 l of water/acre or mancozeb 75% WP @ 6-8 Kg in 300 l of water/acre
Wheat,Stripe rust,10,20,80,95,Cultural control:Follow mixed cropping and crop rotationAvoid excess application of “N”.Chemical control:Propiconazole 25% EC @ 200 ml in 200 l of water/acre or tebuconazole 25% EC @200 ml in 200 l of water/acre or zineb 75% WP @ 6-8 Kg in 300-400 l of water/acre or mancozeb 75% WP @ 6-8 Kg in 300 l of water/acre
Wheat,Flag smut,18,24,65,95,Chemical control:Carboxin 75% WP @ 2 -2.5 g/ Kg seed or tebuconazole 2% DS @ 0.2 Kg/10 Kg seed or thiram 75% WS @ 10-12 g in 400 ml of water/acre
Wheat,Alternaria leaf blight,20,25,80,95,Seed-borne infection can be controlled by treating seed with Vitavax at the rate of 2.5 g per kg seed.Apply adequate fertilizers and irrigation.Alternaria leaf blight can also be controlled by 0.2 per cent Zineb or Mancozeb 75 WP sprays. It is beneficial to mix urea at the rate of two to three per cent with Zineb at first and second sprays.
Bajra,Downy mildew,15,25,85,95,"Cultural control:Roguing and gap filling, deep ploughing and soil solarisation.Avoidance of monoculture.Avoidance of low lying fields and water logging."
Bajra,Ergot,20,30,80,95,Cultural control:Dipping the seeds in 10% NaCl salt solution for 10 minute to control the ergot disease.The crop should be sown as early as possible during JuneJuly with the onset of monsoon.Use of resistant cultivars is the most cost-effective method for the control of Ergot disease.Eradicate the weeds like Cenchrus ciliaris and Panicum antidotale from around pearl millet fields.
Bajra,Smut,25,35,NA,,Cultural control:Avoid rationing.Intercropping of mungbean with pearl millet reduces the smut disease.
Bajra,Rust,10,20,NA,,"Cultural control:See the common cultural and mechanical practices .Biological control:Some fungal species controls rust disease such as Aspergillusglobosum, Chaetomium globosum and Trichoderma koningii."
Tomato,Damping Off,27,31,80,95,"Cultural control: Excessive watering and poorly drained  28 areas of field should be avoided, Use raised beds: 15 cm height is better for water drainage or use pro-trays for raising seedlings"
Onion,Purple blotch,21,30,80,95,"Cultural control: Use healthy seeds for planting, Follow crop rotation 2-3 years with non-host crops, Follow proper drainage at regular intervals, Use the recommended doses of N and P fertilizers. Hot water soaking of onion seed (50 °C for 20 minutes). Use resistant varieties."
Onion,Pink root rot,24,28,NA,,"Cultural control: Follow crop rotation with cereal and green manure crops. Soil solarization by using polythene sheet of 25 guage in summer season for 30 days reduces the pathogen inoculum and in turn reduces the disease. Use resistant varieties such as Welsh onion (Allium fi stulosum) lines, which are resistant to pink root. Soil solarization reduces pink root incidence. Late planting reduces disease incidence. Follow long rotations with non-host crop."
Onion,Black mold,35,45,NA,,"Cultural control: Leave onions for drying in the fi eld for two days after harvesting. These bulbs should be further dried in shade for 10-15 days before storage. Store seed and bulb after proper drying. Maintain proper aeration in the storage, Avoid bruising of onion bulbs during harvest, storage or transport. Store onion at 1-15 °C"
Onion,Bacterial soft rot,20,30,NA,,"Cultural control: Grow the crop under optimum condition of tilth, fertilizer, drainage, crop rotation and free from weeds. Follow proper curing and rapid drying of the bulbs after harvesting.Affected bulbs should be discarded before storage, Dry the crop quickly after harvest, During rainy season, artifi cial curing is required."
Onion,Green mold,35,45,NA,,"Cultural control: Leave onions for drying in the fi eld for two days after harvesting. These bulbs should be further dried in shade for 10-15 days before storage. Store seed and bulb after proper drying. Maintain proper aeration in the storage, Avoid bruising of onion bulbs during harvest, storage or transport. Store onion at 1-15 °C."
Onion,Bacterial brown rot,5,41,NA,,"Cultural control: Grow the crop under optimum condition of tilth, fertilizer, drainage, crop rotation and free from weeds. Follow proper curing and rapid drying of the bulbs after harvesting. Affected bulbs should be discarded before storage, Dry the crop quickly after harvest, During rainy season, artifi cial curing is required."
Garlic,Purple blotch,21,30,80,90,"Cultural control: Use healthy seeds for planting, Follow crop rotation 2-3 years with non-host crops, Follow proper drainage at regular intervals, Use the recommended doses of N and P fertilizers. Hot water soaking of garlic seed (50 °C for 20 minutes). Use resistant varieties."
Garlic,Stemphylium leaf blight,18,25,NA,,"Cultural control: Use healthy seeds for planting, Follow crop rotation 2-3 years with non-host crops, Follow proper drainage at regular intervals, Use the recommended doses of N and P fertilizers. Hot water soaking of garlic seed (50 °C for 20 minutes). Use resistant varieties."
Garlic,Anthracnose,25,30,NA,,Cultural control: Field sanitation: Destruction of infected plant debris. Use of resistant varieties
Garlic,Bacterial soft rot,20,30,NA,,"Cultural control: Grow the crop under optimum condition of tilth, fertilizer, drainage, crop rotation and free from weeds. Follow proper curing and rapid drying of the bulbs after harvesting.Affected bulbs should be discarded before storage , Dry the crop quickly after harvest , During rainy season, artifi cial curing is required."
Garlic,Bacterial brown rot,5,41,NA,,"Cultural control: Grow the crop under optimum condition of tilth, fertilizer, drainage, crop rotation and free from weeds. Follow proper curing and rapid drying of the bulbs after harvesting. Affected bulbs should be discarded before storage, Dry the crop quickly after harvest During rainy season, artifi cial curing is required."
Okra,Leaf hopper,25,30,NA,,Cultural control: Destroy the alternate host plants. Use resistant varieties Okra intercropped with baby corn brought some significant reduction in pre-spray population of leaf hoppers.
Safflower,Aphid,10,28,40,60,"Cultural control: If the attack is observed in the border rows take control measures Intercultural operations such as harrowing and hoeing reduce weeds such as Parthenium hysterophorus in safflower field which serve as alternate hosts for safflower aphids.Intercropping with sorghum, wheat and coriander reduces aphid infestation Intercropping with niger should be avoided"
Sunflower,Alternaria leaf spot,25,27,NA,,Cultural control: Early planting during kharif escapes from the leaf spot Occurrence and severity of the disease depend on the season and planting dates. Mid-September planting of sunflower remains free from most of the major diseases including Alternaria. Intercropping of sunflower with groundnut in the ratio of 6:2 reduces leafspot. Spacing of 60 x 30cm or 45 x 30cm is optimum in reducing the buildup of leaf spot
Sunflower,Downy mildew,16,18,80,95,"Cultural control:Use downy mildew resistant hybrids LSH-1 and LSH-3 for endemic pockets of Maharastra. Most of the recently released hybrids viz., BSH-1, KBSH-1, MSFH-17, DSH-1, SPIC-105 are resistant to downy mildew. Remove volunteer sunflower plants, Parthenium weed around the field and clean cultivation. Shollow sowing (3 cm) is desirable to avoid downy mildew. Pre sowing irrigation followed by one irrigation at 10 or more days after sowing reduces disease Roguing of mildew infected seedlings during thinning, removal and destruction of infected plants. Crop rotation in sunflower with groundnut/ sorghum/ pigeonpea for six-years. "
Potato,Late blight,7.2,26.6,80,95,Cultural control: Use short-duration varieties. The model specifies that 7 days moving sum of RH > 85% for at least 90 hr coupled with a 7 day moving sum of temperature between 7.2 and 26.6°C for at least 115 hr would predict appearance of late blight within 10 days of satisfying the conditions.
